t_s,phase,displayed_frames,published,dropped,mailbox_age_ms,upload_count,upload_sum_us,upload_max_ms,rss_kb,footprint_kb,exposed,degraded,producer_fps,producer_rendered,producer_failed
74.996,warmup,3733,3733,0,13,3726,2203994,1.575,1051356,1490328,1,0,50.10,3733,0
76.004,warmup,3783,3784,0,0,3776,2233713,1.575,1051356,1490328,1,0,49.95,3784,0
77.004,warmup,3833,3834,0,0,3826,2262979,1.575,1051356,1490328,1,0,50.00,3834,0
78.003,warmup,3883,3884,0,0,3876,2292524,1.575,1051356,1490328,1,0,50.00,3884,0
78.996,warmup,3933,3933,0,12,3926,2321675,1.575,1051356,1490328,1,0,50.00,3933,0
80.004,warmup,3983,3984,0,0,3976,2351171,1.575,1051356,1490328,1,0,50.00,3984,0
80.995,warmup,4033,4033,0,11,4026,2380851,1.575,1051356,1490328,1,0,50.00,4033,0
81.997,warmup,4083,4083,0,14,4076,2410280,1.575,1051356,1490328,1,0,50.00,4083,0
82.997,warmup,4133,4133,0,14,4126,2439764,1.575,1051356,1490328,1,0,50.00,4133,0
83.995,warmup,4183,4183,0,11,4176,2469755,1.575,1051356,1490328,1,0,50.00,4183,0
84.996,warmup,4233,4233,0,13,4226,2499201,1.575,1051356,1490328,1,0,49.95,4233,0
85.996,warmup,4283,4283,0,13,4276,2528954,1.575,1051356,1490328,1,0,50.05,4283,0
86.998,warmup,4333,4333,0,15,4326,2558436,1.575,1051356,1490328,1,0,50.00,4333,0
87.995,warmup,4383,4383,0,11,4376,2587634,1.575,1051356,1490328,1,0,50.00,4383,0
88.994,warmup,4433,4433,0,11,4426,2616969,1.575,1051360,1490332,1,0,50.00,4433,0
89.999,warmup,4483,4483,0,16,4476,2646528,1.575,1051360,1490332,1,0,49.95,4483,0
91.004,warmup,4533,4534,0,0,4526,2676020,1.575,1051364,1490332,1,0,50.05,4534,0
92.004,warmup,4583,4584,0,0,4576,2705753,1.575,1051364,1490332,1,0,50.00,4584,0
92.995,warmup,4633,4633,0,11,4626,2735313,1.575,1051364,1490332,1,0,50.00,4633,0
94.004,warmup,4683,4684,0,0,4676,2765027,1.575,1051364,1490332,1,0,50.00,4684,0
95.003,warmup,4733,4734,0,0,4726,2794546,1.575,1051364,1490332,1,0,50.00,4734,0
95.999,warmup,4783,4783,0,16,4776,2824500,1.575,1051364,1490332,1,0,50.05,4783,0
97.003,warmup,4833,4834,0,0,4826,2854213,1.575,1051364,1490332,1,0,50.00,4834,0
98.003,warmup,4883,4884,0,0,4876,2883789,1.575,1051364,1490332,1,0,50.00,4884,0
98.997,warmup,4933,4933,0,14,4926,2913248,1.575,1051364,1490332,1,0,50.00,4933,0
99.996,warmup,4983,4983,0,12,4976,2942683,1.575,1051364,1490332,1,0,50.00,4983,0
100.995,warmup,5033,5033,0,12,5026,2972054,1.575,1051364,1490332,1,0,50.00,5033,0
102.004,warmup,5083,5084,0,1,5076,3001717,1.575,1051364,1490332,1,0,50.00,5084,0
102.999,warmup,5133,5133,0,16,5126,3030945,1.575,1051364,1490332,1,0,50.00,5133,0
103.995,warmup,5183,5183,0,12,5176,3060259,1.575,1051364,1490332,1,0,50.00,5183,0
104.997,warmup,5233,5233,0,14,5226,3089783,1.575,1051364,1490332,1,0,50.00,5233,0
106.002,warmup,5283,5284,0,0,5276,3119149,1.575,1051364,1490332,1,0,49.95,5284,0
106.996,warmup,5333,5333,0,13,5326,3148406,1.575,1051364,1490332,1,0,50.05,5333,0
107.997,warmup,5383,5383,0,14,5376,3177915,1.575,1051364,1490332,1,0,50.00,5383,0
109.004,warmup,5433,5434,0,0,5426,3207305,1.575,1049996,1490332,1,0,50.00,5434,0
110.004,warmup,5483,5484,0,0,5476,3236526,1.575,1045348,1490332,1,0,50.00,5484,0
110.995,warmup,5533,5533,0,13,5526,3266109,1.575,1045336,1490332,1,0,50.00,5533,0
111.995,warmup,5583,5583,0,11,5576,3295618,1.575,1038428,1490332,1,0,49.95,5583,0
112.996,warmup,5633,5633,0,13,5626,3325059,1.575,1029264,1490332,1,0,50.00,5633,0
113.996,warmup,5683,5683,0,13,5676,3354603,1.575,1020880,1490276,1,0,50.00,5683,0
114.997,warmup,5733,5733,0,14,5726,3383649,1.575,1011004,1490276,1,0,50.05,5733,0
116.003,warmup,5783,5784,0,1,5776,3413403,1.575,1001972,1490276,1,0,49.90,5784,0
117.003,warmup,5833,5834,0,0,5826,3443046,1.575,992892,1490276,1,0,50.05,5834,0
118.003,warmup,5883,5884,0,0,5876,3472591,1.575,985628,1490276,1,0,50.05,5884,0
119.003,warmup,5933,5934,0,0,5926,3502504,1.575,976160,1490276,1,0,49.95,5934,0
120.003,measure,5983,5984,0,0,5976,3532148,1.575,966820,1490276,1,0,50.00,5984,0
120.996,measure,6033,6033,0,13,6026,3561742,1.575,957664,1490276,1,0,50.00,6033,0
122.003,measure,6083,6084,0,1,6076,3591694,1.575,948724,1490220,1,0,50.05,6084,0
123.004,measure,6133,6134,0,0,6126,3621637,1.575,939836,1490220,1,0,49.95,6134,0
124.004,measure,6183,6184,0,0,6176,3651285,1.575,930708,1490220,1,0,50.00,6184,0
124.998,measure,6233,6233,0,15,6226,3680398,1.575,921816,1490220,1,0,50.00,6233,0
125.996,measure,6283,6283,0,12,6276,3709738,1.575,912816,1490220,1,0,49.95,6283,0
126.998,measure,6333,6333,0,14,6326,3739015,1.575,907520,1490220,1,0,50.05,6333,0
127.996,measure,6383,6383,0,13,6376,3768571,1.575,898900,1490220,1,0,50.00,6383,0
129.004,measure,6433,6434,0,0,6426,3797943,1.575,890144,1490220,1,0,50.00,6434,0
130.004,measure,6483,6484,0,0,6476,3827583,1.575,881312,1490220,1,0,50.00,6484,0
131.004,measure,6533,6534,0,0,6526,3857588,1.575,872680,1490220,1,0,50.00,6534,0
132.004,measure,6583,6584,0,0,6576,3887589,1.575,864148,1490220,1,0,50.00,6584,0
132.994,measure,6633,6633,0,9,6626,3917240,1.575,855744,1490220,1,0,50.00,6633,0
134.003,measure,6683,6684,0,0,6676,3946610,1.575,847308,1490220,1,0,49.95,6684,0
134.996,measure,6733,6733,0,11,6726,3976287,1.575,838932,1490220,1,0,50.05,6733,0
135.999,measure,6783,6783,0,15,6776,4005913,1.575,830588,1490220,1,0,50.00,6783,0
136.995,measure,6833,6833,0,11,6826,4035355,1.575,822304,1490220,1,0,50.00,6833,0
138.004,measure,6883,6884,0,0,6876,4064639,1.575,814100,1490220,1,0,49.95,6884,0
139.004,measure,6933,6934,0,0,6926,4093872,1.575,805976,1490220,1,0,50.05,6934,0
139.998,measure,6983,6983,0,14,6976,4123744,1.575,797968,1490220,1,0,50.00,6983,0
141.004,measure,7033,7034,0,0,7026,4153586,1.575,790012,1490220,1,0,50.00,7034,0
141.996,measure,7083,7083,0,12,7076,4183608,1.575,782136,1490220,1,0,50.00,7083,0
143.004,measure,7133,7134,0,0,7126,4213562,1.575,774376,1490220,1,0,50.00,7134,0
