t_s,phase,frame_number,interval_ms
6.992,warmup,343,21.681
7.011,warmup,344,19.263
7.030,warmup,345,19.189
7.050,warmup,346,19.428
7.071,warmup,347,21.004
7.091,warmup,348,20.163
7.108,warmup,349,16.852
7.131,warmup,350,22.936
7.152,warmup,351,21.834
7.169,warmup,352,16.455
7.190,warmup,353,21.075
7.211,warmup,354,20.930
7.230,warmup,355,18.891
7.250,warmup,356,20.229
7.270,warmup,357,20.259
7.290,warmup,358,19.684
7.309,warmup,359,19.551
7.330,warmup,360,21.011
7.351,warmup,361,20.206
7.371,warmup,362,20.007
7.390,warmup,363,19.500
7.409,warmup,364,18.929
7.435,warmup,365,25.760
7.450,warmup,366,14.697
7.471,warmup,367,21.669
7.492,warmup,368,20.415
7.512,warmup,369,20.814
7.529,warmup,370,16.993
7.551,warmup,371,21.841
7.569,warmup,372,17.753
7.590,warmup,373,20.599
7.609,warmup,374,19.750
7.631,warmup,375,21.159
7.651,warmup,376,20.206
7.669,warmup,377,17.849
7.690,warmup,378,21.211
7.714,warmup,379,24.161
7.731,warmup,380,16.601
7.750,warmup,381,19.410
7.770,warmup,382,20.319
7.790,warmup,383,19.195
7.810,warmup,384,20.042
7.831,warmup,385,21.247
7.849,warmup,386,18.220
7.870,warmup,387,20.947
7.889,warmup,388,18.955
7.909,warmup,389,20.003
7.930,warmup,390,20.936
7.949,warmup,391,19.138
7.970,warmup,392,20.718
7.993,warmup,393,23.258
8.010,warmup,394,16.706
8.030,warmup,395,20.407
8.051,warmup,396,20.902
8.070,warmup,397,19.070
8.090,warmup,398,19.676
8.111,warmup,399,21.738
8.131,warmup,400,19.438
8.149,warmup,401,18.156
8.171,warmup,402,21.989
8.189,warmup,403,17.895
8.211,warmup,404,22.260
8.228,warmup,405,16.931
8.250,warmup,406,22.307
8.272,warmup,407,21.777
8.288,warmup,408,15.822
8.309,warmup,409,20.693
8.330,warmup,410,21.754
8.350,warmup,411,19.175
8.370,warmup,412,20.144
8.390,warmup,413,20.054
8.409,warmup,414,19.085
8.429,warmup,415,20.112
8.451,warmup,416,22.056
8.470,warmup,417,19.143
8.490,warmup,418,19.296
8.509,warmup,419,19.145
8.531,warmup,420,22.599
8.553,warmup,421,22.178
8.568,warmup,422,14.970
8.590,warmup,423,21.797
8.611,warmup,424,20.964
8.628,warmup,425,16.903
8.649,warmup,426,21.359
8.670,warmup,427,20.488
8.688,warmup,428,18.359
8.709,warmup,429,20.866
8.730,warmup,430,20.926
8.749,warmup,431,19.241
8.768,warmup,432,18.631
8.787,warmup,433,19.236
8.809,warmup,434,21.925
8.832,warmup,435,23.034
8.850,warmup,436,17.550
8.869,warmup,437,19.282
8.892,warmup,438,22.882
8.909,warmup,439,16.873
8.931,warmup,440,22.317
8.952,warmup,441,21.226
8.969,warmup,442,16.821
8.990,warmup,443,21.212
9.010,warmup,444,19.753
9.030,warmup,445,20.360
9.050,warmup,446,19.532
9.069,warmup,447,18.749
9.090,warmup,448,21.104
9.114,warmup,449,23.986
9.130,warmup,450,15.975
9.150,warmup,451,19.884
9.170,warmup,452,20.317
9.190,warmup,453,19.569
9.209,warmup,454,19.716
9.230,warmup,455,21.034
9.250,warmup,456,19.461
9.270,warmup,457,20.038
9.290,warmup,458,19.927
9.310,warmup,459,19.913
9.328,warmup,460,18.766
9.349,warmup,461,20.899
9.369,warmup,462,20.064
9.392,warmup,463,23.033
9.409,warmup,464,16.107
9.430,warmup,465,21.515
9.451,warmup,466,20.469
9.469,warmup,467,18.306
9.489,warmup,468,20.610
9.510,warmup,469,21.054
9.530,warmup,470,19.306
9.549,warmup,471,18.973
9.570,warmup,472,21.463
9.589,warmup,473,18.297
9.610,warmup,474,21.424
9.629,warmup,475,18.764
9.651,warmup,476,22.314
9.673,warmup,477,22.176
9.690,warmup,478,16.688
9.711,warmup,479,21.088
9.730,warmup,480,19.315
9.749,warmup,481,19.004
9.768,warmup,482,18.639
9.790,warmup,483,22.189
9.809,warmup,484,18.855
9.829,warmup,485,20.097
9.851,warmup,486,21.479
9.870,warmup,487,19.224
9.890,warmup,488,20.650
9.910,warmup,489,19.622
9.931,warmup,490,21.199
9.953,warmup,491,21.877
9.969,warmup,492,15.591
9.990,warmup,493,21.092
10.010,warmup,494,20.542
10.030,warmup,495,19.395
10.048,warmup,496,18.749
10.072,warmup,497,23.826
10.089,warmup,498,16.728
10.108,warmup,499,19.277
10.129,warmup,500,20.955
10.150,warmup,501,20.496
10.170,warmup,502,20.264
10.190,warmup,503,19.865
10.209,warmup,504,19.100
10.233,warmup,505,24.089
10.248,warmup,506,15.000
10.268,warmup,507,20.117
10.290,warmup,508,21.865
10.309,warmup,509,18.494
10.329,warmup,510,20.314
10.351,warmup,511,22.489
10.369,warmup,512,17.731
10.388,warmup,513,19.375
10.411,warmup,514,22.222
10.431,warmup,515,20.371
10.450,warmup,516,19.416
10.469,warmup,517,18.460
10.490,warmup,518,20.639
10.513,warmup,519,23.297
10.530,warmup,520,17.288
10.549,warmup,521,18.598
10.571,warmup,522,22.096
10.588,warmup,523,17.222
10.610,warmup,524,21.808
10.630,warmup,525,19.972
10.649,warmup,526,19.456
10.669,warmup,527,19.858
10.690,warmup,528,21.172
10.709,warmup,529,18.842
10.730,warmup,530,20.946
10.749,warmup,531,18.783
10.770,warmup,532,20.961
10.794,warmup,533,23.864
10.810,warmup,534,16.084
10.830,warmup,535,20.288
10.851,warmup,536,20.585
10.870,warmup,537,18.889
10.890,warmup,538,20.082
10.917,warmup,539,26.891
10.929,warmup,540,12.388
10.949,warmup,541,20.196
10.969,warmup,542,20.206
10.989,warmup,543,19.274
11.010,warmup,544,21.145
11.031,warmup,545,21.098
11.051,warmup,546,20.248
