t_s,phase,frame_number,interval_ms
7.609,warmup,374,19.021
7.630,warmup,375,21.208
7.650,warmup,376,19.396
7.669,warmup,377,19.311
7.691,warmup,378,22.029
7.708,warmup,379,17.523
7.730,warmup,380,21.108
7.751,warmup,381,21.303
7.769,warmup,382,18.552
7.790,warmup,383,20.678
7.810,warmup,384,20.132
7.830,warmup,385,19.808
7.853,warmup,386,22.940
7.870,warmup,387,17.049
7.889,warmup,388,19.029
7.910,warmup,389,21.431
7.930,warmup,390,19.763
7.950,warmup,391,19.927
7.972,warmup,392,21.921
7.990,warmup,393,18.049
8.011,warmup,394,21.095
8.031,warmup,395,19.535
8.050,warmup,396,19.258
8.069,warmup,397,18.949
8.090,warmup,398,21.237
8.109,warmup,399,19.056
8.133,warmup,400,23.383
8.149,warmup,401,16.070
8.170,warmup,402,21.443
8.190,warmup,403,20.335
8.209,warmup,404,18.349
8.230,warmup,405,20.981
8.250,warmup,406,20.337
8.269,warmup,407,19.327
8.289,warmup,408,19.479
8.308,warmup,409,18.851
8.329,warmup,410,21.609
8.349,warmup,411,19.715
8.369,warmup,412,20.365
8.390,warmup,413,20.307
8.413,warmup,414,22.893
8.430,warmup,415,17.111
8.449,warmup,416,19.619
8.472,warmup,417,22.166
8.490,warmup,418,18.243
8.510,warmup,419,20.419
8.532,warmup,420,21.407
8.549,warmup,421,17.835
8.569,warmup,422,19.985
8.591,warmup,423,21.512
8.609,warmup,424,18.483
8.631,warmup,425,21.193
8.650,warmup,426,19.089
8.669,warmup,427,18.775
8.693,warmup,428,24.856
8.710,warmup,429,16.229
8.730,warmup,430,20.445
8.751,warmup,431,20.926
8.769,warmup,432,18.488
8.790,warmup,433,20.037
8.810,warmup,434,20.871
8.829,warmup,435,18.874
8.849,warmup,436,19.951
8.871,warmup,437,21.323
8.889,warmup,438,18.960
8.911,warmup,439,21.115
8.930,warmup,440,19.510
8.950,warmup,441,19.649
8.972,warmup,442,22.079
8.990,warmup,443,18.128
9.010,warmup,444,20.146
9.032,warmup,445,21.934
9.050,warmup,446,17.576
9.070,warmup,447,20.041
9.092,warmup,448,21.872
9.111,warmup,449,19.016
9.130,warmup,450,19.261
9.150,warmup,451,20.134
9.169,warmup,452,19.142
9.189,warmup,453,20.138
9.209,warmup,454,19.551
9.230,warmup,455,21.261
9.253,warmup,456,22.778
9.273,warmup,457,20.424
9.290,warmup,458,16.298
9.311,warmup,459,21.067
9.329,warmup,460,18.813
9.349,warmup,461,19.628
9.370,warmup,462,21.233
9.389,warmup,463,18.958
9.410,warmup,464,20.639
9.430,warmup,465,19.795
9.450,warmup,466,19.973
9.470,warmup,467,20.105
9.490,warmup,468,19.936
9.510,warmup,469,20.483
9.532,warmup,470,21.864
9.550,warmup,471,18.000
9.570,warmup,472,19.751
9.592,warmup,473,21.774
9.609,warmup,474,17.447
9.630,warmup,475,20.684
9.651,warmup,476,21.069
9.670,warmup,477,19.036
9.692,warmup,478,22.246
9.710,warmup,479,17.742
9.730,warmup,480,19.913
9.748,warmup,481,18.727
9.769,warmup,482,20.217
9.789,warmup,483,20.578
9.812,warmup,484,23.128
9.829,warmup,485,16.806
9.849,warmup,486,19.933
9.870,warmup,487,21.100
9.890,warmup,488,19.831
9.910,warmup,489,19.943
9.931,warmup,490,20.715
9.950,warmup,491,19.339
9.970,warmup,492,19.961
9.990,warmup,493,20.214
10.010,warmup,494,20.246
10.030,warmup,495,19.908
10.050,warmup,496,19.504
10.070,warmup,497,20.214
10.093,warmup,498,23.424
10.110,warmup,499,16.381
10.130,warmup,500,20.166
10.150,warmup,501,20.307
10.169,warmup,502,18.612
10.190,warmup,503,21.090
10.211,warmup,504,20.845
10.232,warmup,505,21.032
10.250,warmup,506,17.645
10.271,warmup,507,21.129
10.290,warmup,508,19.023
10.309,warmup,509,19.187
10.328,warmup,510,19.573
10.349,warmup,511,20.720
10.372,warmup,512,23.185
10.389,warmup,513,16.852
10.409,warmup,514,19.966
10.430,warmup,515,20.926
10.450,warmup,516,19.992
10.469,warmup,517,19.116
10.490,warmup,518,21.244
10.511,warmup,519,20.718
10.530,warmup,520,18.419
10.551,warmup,521,21.231
10.569,warmup,522,18.395
10.590,warmup,523,21.181
10.610,warmup,524,19.367
10.630,warmup,525,19.861
10.654,warmup,526,23.885
10.669,warmup,527,15.937
10.691,warmup,528,21.129
10.711,warmup,529,20.209
10.730,warmup,530,18.867
10.750,warmup,531,20.087
10.770,warmup,532,20.172
10.789,warmup,533,19.197
10.810,warmup,534,20.933
10.830,warmup,535,20.033
10.849,warmup,536,19.020
10.870,warmup,537,21.082
10.890,warmup,538,19.708
10.911,warmup,539,20.854
10.932,warmup,540,21.450
10.949,warmup,541,17.095
10.969,warmup,542,19.599
10.991,warmup,543,21.767
11.011,warmup,544,20.145
11.030,warmup,545,18.895
11.050,warmup,546,20.194
11.069,warmup,547,19.445
11.090,warmup,548,21.061
11.110,warmup,549,19.503
11.130,warmup,550,20.273
11.150,warmup,551,19.853
11.170,warmup,552,19.986
11.191,warmup,553,20.788
11.212,warmup,554,21.499
11.230,warmup,555,17.716
11.250,warmup,556,19.733
11.271,warmup,557,20.923
11.291,warmup,558,20.165
11.310,warmup,559,18.881
11.331,warmup,560,20.786
11.349,warmup,561,18.954
11.369,warmup,562,19.991
11.389,warmup,563,20.002
11.410,warmup,564,20.533
11.430,warmup,565,20.108
11.450,warmup,566,19.955
11.470,warmup,567,19.588
11.493,warmup,568,23.643
11.510,warmup,569,16.667
11.529,warmup,570,19.107
11.550,warmup,571,21.311
11.570,warmup,572,19.308
11.590,warmup,573,20.285
11.611,warmup,574,20.593
11.630,warmup,575,18.972
11.650,warmup,576,20.086
11.670,warmup,577,20.025
11.691,warmup,578,21.102
11.710,warmup,579,18.861
11.730,warmup,580,20.041
11.749,warmup,581,19.165
11.772,warmup,582,23.494
11.789,warmup,583,16.795
11.810,warmup,584,20.828
11.832,warmup,585,22.089
11.850,warmup,586,17.588
11.869,warmup,587,19.852
11.890,warmup,588,20.695
11.910,warmup,589,20.126
11.929,warmup,590,18.969
11.950,warmup,591,20.893
11.969,warmup,592,19.230
11.989,warmup,593,19.142
12.010,warmup,594,21.409
12.029,warmup,595,19.336
12.053,warmup,596,23.521
12.070,warmup,597,17.157
12.090,warmup,598,19.897
12.110,warmup,599,20.286
12.129,warmup,600,19.245
12.148,warmup,601,18.794
12.170,warmup,602,21.940
12.190,warmup,603,19.498
12.209,warmup,604,19.584
12.230,warmup,605,21.291
12.249,warmup,606,18.264
12.269,warmup,607,20.264
12.290,warmup,608,21.012
12.310,warmup,609,19.768
12.333,warmup,610,23.070
12.350,warmup,611,17.016
12.370,warmup,612,20.300
12.391,warmup,613,20.932
12.410,warmup,614,18.925
12.430,warmup,615,20.064
12.451,warmup,616,20.840
12.470,warmup,617,19.097
12.490,warmup,618,19.822
12.511,warmup,619,20.965
12.530,warmup,620,18.965
12.550,warmup,621,19.750
12.570,warmup,622,20.047
12.590,warmup,623,20.489
12.612,warmup,624,21.858
12.629,warmup,625,17.450
12.650,warmup,626,20.251
12.672,warmup,627,22.196
12.689,warmup,628,17.236
12.710,warmup,629,20.695
12.730,warmup,630,20.261
12.749,warmup,631,18.489
12.769,warmup,632,20.701
12.790,warmup,633,20.717
12.810,warmup,634,19.936
12.830,warmup,635,20.052
12.850,warmup,636,20.069
12.870,warmup,637,19.857
12.893,warmup,638,23.058
12.911,warmup,639,17.987
12.930,warmup,640,19.000
12.951,warmup,641,20.838
12.970,warmup,642,19.085
12.990,warmup,643,20.296
13.011,warmup,644,20.703
13.031,warmup,645,20.226
13.049,warmup,646,18.424
13.070,warmup,647,20.059
13.090,warmup,648,20.670
13.111,warmup,649,20.640
13.129,warmup,650,17.704
13.150,warmup,651,20.989
13.173,warmup,652,23.368
13.189,warmup,653,16.598
13.209,warmup,654,19.761
13.231,warmup,655,21.371
13.248,warmup,656,17.803
13.270,warmup,657,21.152
13.290,warmup,658,20.555
13.310,warmup,659,19.833
13.330,warmup,660,19.683
13.350,warmup,661,20.090
13.369,warmup,662,19.658
13.389,warmup,663,19.997
13.409,warmup,664,19.988
13.429,warmup,665,19.908
13.453,warmup,666,23.409
13.469,warmup,667,16.642
13.489,warmup,668,19.888
13.511,warmup,669,21.565
13.530,warmup,670,18.938
13.549,warmup,671,19.661
13.570,warmup,672,20.201
13.590,warmup,673,20.322
13.609,warmup,674,19.274
13.631,warmup,675,21.668
13.650,warmup,676,18.966
13.670,warmup,677,20.096
13.690,warmup,678,19.843
13.710,warmup,679,19.843
13.733,warmup,680,23.373
13.750,warmup,681,16.718
13.770,warmup,682,20.124
13.790,warmup,683,20.469
13.809,warmup,684,18.941
13.829,warmup,685,20.161
13.850,warmup,686,20.293
13.869,warmup,687,19.642
13.889,warmup,688,20.105
13.908,warmup,689,18.429
13.930,warmup,690,21.938
13.950,warmup,691,20.178
13.970,warmup,692,20.000
13.990,warmup,693,20.384
14.014,warmup,694,23.178
14.029,warmup,695,15.090
14.049,warmup,696,20.133
14.070,warmup,697,21.447
14.090,warmup,698,20.055
14.110,warmup,699,19.589
14.131,warmup,700,20.702
14.150,warmup,701,19.330
14.170,warmup,702,20.044
14.190,warmup,703,20.224
14.210,warmup,704,19.648
14.230,warmup,705,20.293
14.251,warmup,706,20.528
14.270,warmup,707,19.826
14.292,warmup,708,22.015
14.309,warmup,709,16.940
14.330,warmup,710,20.239
14.350,warmup,711,20.483
14.369,warmup,712,19.283
14.389,warmup,713,19.763
14.410,warmup,714,20.895
14.430,warmup,715,19.817
14.450,warmup,716,20.318
14.470,warmup,717,20.165
14.490,warmup,718,19.576
14.510,warmup,719,20.126
14.530,warmup,720,20.388
14.551,warmup,721,20.546
14.575,warmup,722,23.968
14.590,warmup,723,15.063
14.610,warmup,724,20.248
14.631,warmup,725,21.076
14.650,warmup,726,18.652
14.671,warmup,727,21.213
14.691,warmup,728,20.201
14.710,warmup,729,18.646
14.730,warmup,730,19.775
14.750,warmup,731,20.314
14.770,warmup,732,19.551
14.788,warmup,733,18.674
14.810,warmup,734,21.201
14.830,warmup,735,20.400
14.853,warmup,736,23.239
14.869,warmup,737,15.876
14.890,warmup,738,20.922
14.912,warmup,739,22.016
14.930,warmup,740,18.038
14.950,warmup,741,20.029
14.972,warmup,742,21.638
14.991,warmup,743,19.546
15.009,warmup,744,17.892
15.032,warmup,745,22.370
15.048,warmup,746,16.643
15.070,warmup,747,22.123
15.090,warmup,748,19.265
15.109,warmup,749,19.630
15.133,warmup,750,23.657
15.149,warmup,751,16.528
15.169,warmup,752,19.789
15.191,warmup,753,21.444
15.210,warmup,754,19.107
15.230,warmup,755,20.245
15.251,warmup,756,21.413
15.270,warmup,757,18.571
15.290,warmup,758,19.931
15.310,warmup,759,19.928
15.331,warmup,760,21.208
15.350,warmup,761,18.922
15.370,warmup,762,20.155
15.390,warmup,763,19.922
15.414,warmup,764,24.059
15.430,warmup,765,16.063
15.451,warmup,766,20.901
15.472,warmup,767,20.581
15.491,warmup,768,19.288
15.509,warmup,769,18.009
15.532,warmup,770,22.959
15.550,warmup,771,17.930
15.570,warmup,772,20.346
15.590,warmup,773,19.838
15.611,warmup,774,21.040
15.629,warmup,775,17.881
15.649,warmup,776,19.899
15.670,warmup,777,20.937
15.694,warmup,778,24.265
15.710,warmup,779,15.838
15.730,warmup,780,19.706
15.752,warmup,781,22.083
15.769,warmup,782,17.825
15.790,warmup,783,20.244
15.812,warmup,784,22.302
15.830,warmup,785,18.075
15.850,warmup,786,20.008
15.870,warmup,787,19.958
15.891,warmup,788,20.591
15.910,warmup,789,19.445
15.930,warmup,790,20.036
15.951,warmup,791,20.999
15.973,warmup,792,22.023
15.989,warmup,793,16.241
16.010,warmup,794,21.067
16.033,warmup,795,22.610
16.050,warmup,796,16.596
16.069,warmup,797,19.663
16.091,warmup,798,21.537
16.109,warmup,799,18.509
16.129,warmup,800,20.114
16.152,warmup,801,22.367
16.170,warmup,802,18.576
16.190,warmup,803,20.021
16.210,warmup,804,19.127
16.232,warmup,805,21.976
16.253,warmup,806,21.554
16.270,warmup,807,16.980
16.289,warmup,808,19.359
16.311,warmup,809,21.657
16.331,warmup,810,19.413
16.349,warmup,811,18.975
16.371,warmup,812,21.049
16.389,warmup,813,18.564
16.410,warmup,814,20.969
16.430,warmup,815,20.249
16.449,warmup,816,18.994
16.469,warmup,817,20.047
16.490,warmup,818,20.685
16.510,warmup,819,20.038
16.533,warmup,820,22.620
16.550,warmup,821,16.896
16.570,warmup,822,20.558
16.591,warmup,823,20.597
16.609,warmup,824,18.198
16.630,warmup,825,20.711
16.651,warmup,826,21.327
16.669,warmup,827,17.830
16.691,warmup,828,22.206
16.710,warmup,829,18.673
16.730,warmup,830,20.405
16.749,warmup,831,18.727
16.770,warmup,832,20.867
16.789,warmup,833,19.326
16.812,warmup,834,23.287
16.829,warmup,835,17.044
16.849,warmup,836,20.001
16.870,warmup,837,20.951
16.889,warmup,838,18.988
16.910,warmup,839,20.958
16.930,warmup,840,19.415
16.950,warmup,841,20.120
16.970,warmup,842,19.991
16.990,warmup,843,19.811
17.010,warmup,844,20.026
17.030,warmup,845,20.033
17.049,warmup,846,19.533
17.069,warmup,847,19.981
17.092,warmup,848,23.248
17.109,warmup,849,16.960
17.129,warmup,850,20.048
17.151,warmup,851,21.477
17.169,warmup,852,18.476
17.189,warmup,853,20.077
17.210,warmup,854,20.845
17.232,warmup,855,21.220
17.249,warmup,856,17.406
17.269,warmup,857,20.186
17.290,warmup,858,20.940
17.310,warmup,859,19.883
17.511,warmup,860,201.481
17.528,warmup,861,16.982
17.550,warmup,862,21.824
17.569,warmup,863,18.970
17.589,warmup,864,19.960
17.609,warmup,865,19.582
17.630,warmup,866,21.017
17.653,warmup,867,23.189
17.670,warmup,868,16.794
17.690,warmup,869,20.044
17.711,warmup,870,21.411
17.730,warmup,871,19.050
17.749,warmup,872,19.128
17.771,warmup,873,21.284
17.789,warmup,874,18.209
17.808,warmup,875,19.251
17.830,warmup,876,21.828
17.850,warmup,877,20.141
17.870,warmup,878,20.008
17.890,warmup,879,19.943
17.910,warmup,880,19.664
17.932,warmup,881,22.786
17.950,warmup,882,17.161
17.970,warmup,883,19.881
17.991,warmup,884,21.231
18.010,warmup,885,19.046
18.030,warmup,886,20.502
18.050,warmup,887,20.032
18.070,warmup,888,19.253
18.090,warmup,889,20.385
18.109,warmup,890,18.637
18.130,warmup,891,21.234
18.150,warmup,892,19.873
18.170,warmup,893,19.929
18.190,warmup,894,20.330
18.213,warmup,895,22.724
18.230,warmup,896,17.076
18.250,warmup,897,20.713
18.270,warmup,898,19.953
18.290,warmup,899,19.443
18.311,warmup,900,20.972
18.333,warmup,901,22.194
18.350,warmup,902,16.814
18.370,warmup,903,20.097
18.389,warmup,904,18.591
18.410,warmup,905,21.590
18.430,warmup,906,19.483
18.449,warmup,907,19.505
18.469,warmup,908,20.182
18.492,warmup,909,22.717
18.510,warmup,910,18.337
18.530,warmup,911,19.142
18.552,warmup,912,22.038
18.570,warmup,913,18.024
18.590,warmup,914,19.989
18.611,warmup,915,21.374
18.629,warmup,916,18.519
18.650,warmup,917,20.334
18.670,warmup,918,20.000
18.690,warmup,919,20.398
18.709,warmup,920,18.550
18.730,warmup,921,21.409
18.750,warmup,922,19.942
18.773,warmup,923,22.788
18.789,warmup,924,16.524
18.809,warmup,925,20.093
18.830,warmup,926,20.398
18.850,warmup,927,19.853
18.870,warmup,928,19.920
18.891,warmup,929,21.241
18.909,warmup,930,17.961
18.929,warmup,931,20.430
18.950,warmup,932,21.050
18.969,warmup,933,18.969
18.991,warmup,934,21.195
19.010,warmup,935,19.148
19.031,warmup,936,21.162
19.053,warmup,937,21.763
19.069,warmup,938,16.113
19.090,warmup,939,21.090
19.110,warmup,940,20.635
19.130,warmup,941,19.467
19.150,warmup,942,19.990
19.171,warmup,943,20.854
19.190,warmup,944,19.213
19.210,warmup,945,19.917
19.231,warmup,946,20.789
19.249,warmup,947,18.787
19.270,warmup,948,20.076
19.289,warmup,949,19.842
19.310,warmup,950,20.523
19.333,warmup,951,22.687
19.349,warmup,952,16.916
19.369,warmup,953,19.974
19.391,warmup,954,22.007
19.409,warmup,955,17.892
19.429,warmup,956,19.783
19.450,warmup,957,20.762
19.469,warmup,958,19.465
19.490,warmup,959,20.602
19.510,warmup,960,20.095
19.529,warmup,961,18.744
19.550,warmup,962,20.773
19.569,warmup,963,19.902
19.590,warmup,964,20.240
19.613,warmup,965,23.239
19.630,warmup,966,16.696
19.650,warmup,967,19.992
19.671,warmup,968,21.635
19.689,warmup,969,18.210
19.708,warmup,970,18.979
19.732,warmup,971,23.036
19.750,warmup,972,18.247
19.771,warmup,973,21.048
19.789,warmup,974,18.534
19.810,warmup,975,20.256
19.830,warmup,976,19.954
19.849,warmup,977,19.897
19.870,warmup,978,20.253
19.893,warmup,979,22.870
19.909,warmup,980,16.587
19.930,warmup,981,20.408
19.951,warmup,982,21.151
19.969,warmup,983,18.428
19.989,warmup,984,20.110
20.010,warmup,985,21.059
20.030,warmup,986,20.186
20.050,warmup,987,19.485
20.070,warmup,988,20.419
20.089,warmup,989,18.650
20.109,warmup,990,20.109
20.128,warmup,991,18.968
20.149,warmup,992,21.186
20.173,warmup,993,23.269
20.189,warmup,994,16.624
20.208,warmup,995,19.210
20.231,warmup,996,22.418
20.249,warmup,997,18.446
